,id,site_id,title,seller_id,category_id,official_store_id,price,base_price,original_price,currency_id,initial_quantity,buying_mode,listing_type_id,condition,permalink,thumbnail_id,thumbnail,video_id,accepts_mercadopago,international_delivery_mode,seller_contact,listing_source,status,warranty,catalog_product_id,domain_id,parent_item_id,automatic_relist,date_created,last_updated,health,catalog_listing
0,MLA2012293122,MLA,Conversor Smart Tv Box Full Hd Android 11 2gb + 16gb Rom,1818639270,MLA352001,,67999.0,67999.0,,ARS,58,buy_it_now,gold_pro,new,https://articulo.mercadolibre.com.ar/MLA-2012293122-conversor-smart-tv-box-full-hd-android-11-2gb-16gb-rom-_JM,885609-MLA50293708230_062022,http://http2.mlstatic.com/D_885609-MLA50293708230_062022-I.jpg,,True,none,,,active,Garantía del vendedor: 30 días,MLA22209485,MLA-STREAMING_MEDIA_DEVICES,,False,2025-02-11T00:21:09.504Z,2025-03-09T11:29:29.251Z,,True
1,MLA2020861394,MLA,Adaptador Smart Tv Box 4k Color Negro 32gb,463349801,MLA352001,,45014.0,45014.0,,ARS,163,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-2020861394-adaptador-smart-tv-box-4k-color-negro-32gb-_JM,948136-MLB51671059786_092022,http://http2.mlstatic.com/D_948136-MLB51671059786_092022-I.jpg,,True,none,,,active,Garantía del vendedor: 30 días,MLA22513412,MLA-STREAMING_MEDIA_DEVICES,,False,2025-02-25T14:12:43.806Z,2025-03-09T19:21:49.338Z,,True
2,MLA1949495790,MLA,Tv Box Smart Z8pro 32gb El Mas Rapido Full Apps!!,98229044,MLA352001,,89990.0,89990.0,,ARS,553,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1949495790-tv-box-smart-z8pro-32gb-el-mas-rapido-full-apps-_JM,602599-MLA80127109136_112024,http://http2.mlstatic.com/D_602599-MLA80127109136_112024-I.jpg,,True,none,,,active,Garantía del vendedor: 30 días,,MLA-STREAMING_MEDIA_DEVICES,,False,2024-11-02T00:24:25.860Z,2025-03-09T16:55:52.606Z,0.72,False
3,MLA2020394376,MLA,Tv Box Gadnic Android 10.0 Hdmi 4k Chromecast Full Hd Color Negro Tipo De Control Remoto Estándar,39144101,MLA352001,3209.0,99799.0,99799.0,,ARS,239,buy_it_now,gold_pro,new,https://articulo.mercadolibre.com.ar/MLA-2020394376-tv-box-gadnic-android-100-hdmi-4k-chromecast-full-hd-color-negro-tipo-de-control-remoto-estandar-_JM,962131-MLU79222529651_092024,http://http2.mlstatic.com/D_962131-MLU79222529651_092024-I.jpg,,True,none,,,active,Garantía del vendedor: 12 meses,MLA40682584,MLA-STREAMING_MEDIA_DEVICES,,False,2025-02-24T14:37:58.638Z,2025-03-09T12:36:57.951Z,,True
4,MLA2014004732,MLA,Control De Voz Xiaomi Mi Tv Stick Full Hd De 8 Gb Y 1 Gb De Ram,70413483,MLA352001,92450.0,79999.0,79999.0,,ARS,103,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-2014004732-control-de-voz-xiaomi-mi-tv-stick-full-hd-de-8-gb-y-1-gb-de-ram-_JM,604850-MLU76943743435_062024,http://http2.mlstatic.com/D_604850-MLU76943743435_062024-I.jpg,,True,none,,,active,Garantía de fábrica: 6 meses,MLA37678995,MLA-STREAMING_MEDIA_DEVICES,,False,2025-02-13T14:23:49.261Z,2025-03-09T19:14:36.274Z,,True
5,MLA2005132928,MLA,Chromecast Ga01919-us Google 4 Generación 4k 8gb Con 2gb De Memoria Ram,1485069878,MLA352001,1366.0,162999.0,162999.0,,ARS,138,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-2005132928-chromecast-ga01919-us-google-4-generacion-4k-8gb-con-2gb-de-memoria-ram-_JM,820731-MEC49046529482_022022,http://http2.mlstatic.com/D_820731-MEC49046529482_022022-I.jpg,,True,none,,,active,Garantía de fábrica: 6 meses,MLA21774715,MLA-STREAMING_MEDIA_DEVICES,,False,2025-01-29T17:20:31.905Z,2025-03-09T19:25:56.988Z,,True
6,MLA1868585540,MLA,Chromecast With Google Tv De Voz 4ª Generación 4k 8gb Snow Con 2gb De Memoria Ram,1473628674,MLA352001,,117988.0,117988.0,,ARS,179,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1868585540-chromecast-with-google-tv-de-voz-4-generacion-4k-8gb-snow-con-2gb-de-memoria-ram-_JM,635602-MLA74782529607_022024,http://http2.mlstatic.com/D_635602-MLA74782529607_022024-I.jpg,,True,none,,,active,Garantía del vendedor: 6 meses,MLA16233185,MLA-STREAMING_MEDIA_DEVICES,,False,2024-08-01T19:14:09.674Z,2025-03-09T19:25:57.603Z,,True
7,MLA1936712116,MLA,Xiaomi Mi Tv Stick Full Hd 8gb Chromecast Streaming Con Control Color Negro,1803908857,MLA352001,,89259.0,89259.0,,ARS,105,buy_it_now,gold_pro,new,https://articulo.mercadolibre.com.ar/MLA-1936712116-xiaomi-mi-tv-stick-full-hd-8gb-chromecast-streaming-con-control-color-negro-_JM,988091-MLU69826403059_062023,http://http2.mlstatic.com/D_988091-MLU69826403059_062023-I.jpg,,True,none,,,active,Garantía del vendedor: 30 días,MLA15984003,MLA-STREAMING_MEDIA_DEVICES,,False,2024-10-16T19:53:57.225Z,2025-03-09T18:45:08.286Z,,True
8,MLA1989304164,MLA,Google Chromecast 4k Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 4k 8gb Sky Con 2gb De Memoria Ram,148613909,MLA352001,145062.0,136499.0,136499.0,,ARS,58,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1989304164-google-chromecast-4k-chromecast-with-google-tv-ga01919-us-de-voz-4-generacion-4k-8gb-sky-con-2gb-de-memoria-ram-_JM,698723-MLU70045085640_062023,http://http2.mlstatic.com/D_698723-MLU70045085640_062023-I.jpg,,True,none,,,active,Garantía del vendedor: 6 meses,MLA16233187,MLA-STREAMING_MEDIA_DEVICES,,False,2025-01-03T16:12:05.115Z,2025-03-09T19:24:02.104Z,,True
9,MLA2006690998,MLA,Tv Box 4k Hdmi Android  --el Más Rápido--,2235368076,MLA352001,,75000.0,75000.0,,ARS,949,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-2006690998-tv-box-4k-hdmi-android-el-mas-rapido--_JM,722861-MLA80050537929_102024,http://http2.mlstatic.com/D_722861-MLA80050537929_102024-I.jpg,,True,none,,,active,Garantía del vendedor: 30 días,MLA22513406,MLA-STREAMING_MEDIA_DEVICES,,False,2025-02-01T22:08:11.716Z,2025-03-09T18:45:13.291Z,0.83,False
